"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1101","台泥","110/06/02","09:00","線上說明會","公司簡介、所屬產業概況、營運成果及未來展望說明","110120210601M002.pdf","110120210601E002.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html","","無","查詢"
"1101","台泥","110/05/17","14:30","本公司於5月15日公告為因應大台北地區疫情警戒提升，原訂5月17日自辦之線上法說會取消","公司簡介、所屬產業概況、營運成果及未來展望說明。","110120210601M001.pdf","110120210601E001.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html",法說會影音連結資訊:NA ,"無","查詢"
"1101","台泥","110/05/25","13:00","線上法說會","公司簡介、所屬產業概況、營運成果及未來展望說明","110120210519M002.pdf","110120210519E002.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html","","無","查詢"
"1101","台泥","110/06/10","14:30","線上說明會","公司簡介、所屬產業概況、營運成果及未來展望說明","110120210601M001.pdf","110120210601E001.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html","","無","查詢"
"1101","台泥","110/03/25","16:00","線上法說會","公司簡介、所屬產業概況、營運成果及未來展望說明","110120201209M001.pdf","110120201209E001.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html","","無","查詢"
"1101","台泥","110/04/07","13:30","線上法說會","公司簡介、所屬產業概況、營運成果及未來展望說明","110120201209M001.pdf","110120201209E001.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html","","無","查詢"
"1101","台泥","110/02/22 至 110/02/23","14:00","線上法說會","公司簡介、所屬產業概況、營運成果及未來展望說明","110120201209M001.pdf","110120201209E001.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html","","無","查詢"
"1101","台泥","110/11/15","14:30","實體(採實名報名制)及線上法說會，實體法說會地點:台北市中山北路2段113號3樓士敏廳。","公司簡介、所屬產業概況、營運成果及未來展望說明。","110120211124M002.pdf","110120211124E002.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html",法說會影音連結資訊:https://media.taiwancement.com/investors/2021/2021_Q3.mp4 ,"實體及線上法說會報名網址：https://www.taiwancement.com/tw/investorsSignUp.html","查詢"
"1102","亞泥","110/05/14","16:00","線上法人說明會","本公司受邀參加KGI舉辦2021年第一季營運概況線上法說會","110220210514M001.pdf","110220210514E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","110/05/18","09:00","線上法說會","本公司受邀參加富邦證券舉辦Jefferies &amp; Fubon Taiwan Corporate Day說明本公司營運現況與展望","110220210518M001.pdf","110220210518E001.pdf","https://www.acc.com.tw/","","無","查詢"
